overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,years_at_club,contract_years_remaining,is_loaned,nationality_freq,league_freq,preferred_foot_Right,position_group_DEF,position_group_MID
72,72,2300000,7000,30,175,70,1.0,4,4,1,81.0,61.0,65.0,74.0,64.0,71.0,65,60,51,69,38,76,58,49,62,71,79,83,80,66,69,70,70,81,65,57,74,63,70,64,57,75,65,68,64,1.5643835616438355,1.0,0,71,714,True,False,True
67,67,400000,2000,35,178,75,1.0,3,3,1,62.0,65.0,70.0,68.0,58.0,67.0,71,60,53,69,68,67,71,77,68,68,56,67,70,67,74,71,61,73,67,70,62,65,66,68,68,71,57,58,54,2.7095890410958905,4.0,0,365,382,True,False,True
66,66,825000,5000,30,174,60,1.0,4,3,1,72.0,61.0,66.0,69.0,58.0,66.0,61,56,55,67,53,66,64,72,65,67,70,74,89,63,83,65,65,79,60,67,66,64,66,67,62,61,57,57,53,1.6986301369863013,5.0,0,365,382,False,False,True
65,65,700000,2000,30,183,73,4.0,3,3,1,78.0,64.0,62.0,65.0,58.0,80.0,53,63,63,66,57,64,57,56,64,65,75,80,67,64,71,70,81,91,79,65,68,59,65,63,56,62,54,61,58,2.221917808219178,2.0,0,1329,589,True,False,True
70,78,3600000,7000,21,179,70,1.0,3,2,1,74.0,58.0,65.0,70.0,68.0,74.0,54,58,66,73,45,68,57,47,70,73,71,76,72,64,72,61,77,79,71,57,74,69,66,67,51,62,63,72,67,2.221917808219178,2.0,0,148,419,True,False,True
74,74,4200000,9000,29,182,80,1.0,4,3,1,62.0,77.0,67.0,73.0,38.0,74.0,63,77,69,72,73,73,78,60,50,75,68,57,68,75,71,78,76,82,74,75,61,30,75,72,82,72,35,38,30,0.6328767123287671,2.0,0,346,714,False,False,False
77,77,9000000,16000,31,181,84,1.0,4,2,3,68.0,76.0,58.0,74.0,38.0,80.0,42,78,83,68,78,74,64,56,48,74,66,70,72,79,70,79,88,72,81,66,83,31,84,61,74,81,44,23,32,0.049315068493150684,1.0,0,558,607,True,False,False
71,80,4200000,25000,21,178,73,2.0,4,2,1,65.0,61.0,69.0,71.0,65.0,71.0,62,62,55,72,48,70,67,58,73,72,67,64,72,70,73,64,68,76,69,60,69,69,66,71,48,69,63,68,65,4.3342465753424655,3.0,0,1329,606,True,False,True
70,70,1600000,3000,29,192,86,2.0,3,2,1,55.0,63.0,67.0,68.0,68.0,78.0,55,59,74,74,61,68,62,61,68,71,44,64,62,67,57,74,77,74,83,67,73,67,65,70,45,70,65,69,66,0.08493150684931507,2.0,0,346,491,False,False,True
73,73,3100000,13000,28,179,72,1.0,2,3,1,73.0,70.0,72.0,74.0,41.0,71.0,77,70,55,71,67,74,66,74,65,75,73,73,71,71,76,71,63,84,68,71,65,36,74,74,63,72,35,46,42,1.6931506849315068,1.0,0,954,855,False,False,True
70,79,3600000,12000,21,177,71,1.0,3,3,1,80.0,54.0,67.0,74.0,62.0,69.0,57,57,49,73,49,72,63,54,69,73,79,80,88,71,79,54,64,79,57,51,86,66,63,69,40,60,59,65,67,0.3013698630136986,4.0,0,365,762,True,False,True
77,83,16000000,16000,21,183,75,1.0,3,3,1,85.0,41.0,67.0,69.0,74.0,77.0,70,35,72,71,30,68,64,30,69,71,85,85,73,73,67,55,86,80,73,40,80,73,52,66,40,63,73,74,77,2.717808219178082,2.0,0,131,488,True,True,False
75,78,7000000,18000,25,183,74,1.0,3,2,1,81.0,54.0,63.0,69.0,72.0,74.0,70,49,64,65,48,69,63,45,63,74,77,84,59,70,65,64,76,85,69,54,74,70,61,58,51,61,73,74,72,3.249315068493151,2.0,0,558,607,True,True,False
73,73,1600000,17000,33,175,71,1.0,4,3,1,76.0,52.0,70.0,72.0,68.0,64.0,72,51,57,71,41,71,68,48,70,72,76,76,75,72,72,63,69,77,59,44,61,70,54,72,61,65,66,71,72,6.2246575342465755,1.0,0,75,537,True,True,False
68,68,1200000,3000,29,181,74,2.0,4,3,1,75.0,61.0,68.0,70.0,63.0,62.0,67,58,59,71,56,68,60,57,69,69,73,76,84,70,76,68,69,60,61,64,66,65,65,70,55,66,65,62,62,4.221917808219178,1.0,0,210,491,True,False,True
70,70,1300000,15000,32,173,72,1.0,3,2,1,66.0,63.0,70.0,65.0,69.0,71.0,67,57,49,73,31,59,57,65,71,68,65,66,68,76,69,76,65,70,72,70,73,73,63,72,60,74,71,72,67,0.6821917808219178,2.0,0,200,97,True,False,True
67,67,350000,2000,34,173,67,1.0,3,3,1,67.0,64.0,69.0,71.0,62.0,59.0,62,63,51,72,59,67,70,66,71,71,66,67,89,67,86,64,60,69,58,68,48,62,62,69,63,60,64,63,60,1.178082191780822,1.0,0,930,429,True,False,True
70,70,1700000,6000,27,173,69,1.0,4,4,1,69.0,68.0,70.0,73.0,48.0,65.0,65,69,59,73,57,72,72,72,63,71,72,67,78,68,83,70,70,71,63,68,59,48,64,73,74,69,41,51,51,2.6356164383561644,0.0,0,131,714,True,False,True
73,81,6500000,11000,21,183,81,1.0,3,2,1,79.0,52.0,65.0,67.0,71.0,83.0,59,46,75,71,38,64,43,56,66,70,70,87,69,67,67,60,87,84,87,57,70,71,64,66,51,69,70,72,66,2.0712328767123287,1.0,0,227,855,True,True,False
77,77,7500000,25000,31,186,71,1.0,3,2,1,63.0,57.0,64.0,65.0,76.0,87.0,52,55,80,75,32,62,40,30,74,72,64,62,60,76,58,73,88,87,88,54,84,76,64,65,40,65,75,76,74,4.147945205479452,2.0,0,131,488,True,False,True
76,76,7500000,17000,28,170,65,1.0,3,4,1,77.0,75.0,74.0,79.0,36.0,57.0,70,74,38,76,54,78,80,71,73,76,78,76,92,69,90,81,53,74,46,78,63,40,75,75,62,73,33,35,33,1.095890410958904,3.0,0,833,431,False,False,True
78,78,12000000,35000,30,190,77,1.0,3,2,1,39.0,63.0,69.0,68.0,76.0,75.0,52,59,75,80,46,64,58,52,78,78,46,34,63,74,40,73,73,78,75,69,73,75,59,69,57,69,74,79,76,5.1287671232876715,2.0,0,930,488,True,False,True
80,88,47500000,77000,22,172,65,1.0,4,3,2,77.0,73.0,78.0,81.0,38.0,53.0,79,76,46,81,67,82,76,60,76,81,78,77,80,78,80,73,58,69,45,69,53,29,81,78,54,68,31,48,41,0.057534246575342465,5.0,0,930,537,True,False,True
76,77,9000000,10000,27,190,82,1.0,3,3,1,82.0,75.0,61.0,71.0,41.0,81.0,49,78,73,69,72,70,61,57,56,74,81,83,66,77,62,79,84,76,86,66,73,38,74,65,64,76,34,41,31,1.632876712328767,2.0,0,147,714,True,False,False
71,76,2600000,6000,25,182,75,1.0,3,4,1,80.0,67.0,60.0,72.0,66.0,70.0,65,69,63,66,54,73,45,38,45,72,79,81,67,69,73,72,79,79,72,62,49,62,70,64,68,66,68,69,62,3.706849315068493,2.0,0,16,714,True,True,False
69,69,1200000,2000,31,173,67,1.0,3,3,1,80.0,67.0,63.0,71.0,50.0,66.0,63,70,60,66,65,69,63,56,57,69,81,79,89,66,89,65,70,88,52,68,70,58,67,62,55,58,35,55,53,2.147945205479452,1.0,0,274,1140,True,False,False
70,70,1600000,18000,28,168,69,2.0,3,3,1,74.0,59.0,66.0,73.0,64.0,64.0,60,60,64,72,48,72,50,52,69,70,76,72,85,68,87,60,71,81,56,56,60,69,68,69,50,64,58,67,65,0.0684931506849315,3.0,0,99,606,True,False,True
69,72,1600000,5000,27,186,77,2.0,3,2,1,66.0,53.0,72.0,66.0,68.0,76.0,68,44,68,74,43,63,72,68,80,73,69,64,64,63,59,73,79,71,80,54,69,67,53,69,55,74,68,68,66,0.2191780821917808,2.0,0,833,430,True,True,False
74,74,4300000,23000,28,180,76,1.0,3,3,1,80.0,75.0,60.0,72.0,36.0,75.0,49,77,70,67,79,69,66,57,48,72,80,80,83,74,76,76,84,75,78,70,66,34,76,66,76,70,32,32,26,0.6602739726027397,2.0,0,642,1140,True,False,False
77,85,23000000,56000,20,180,65,1.0,3,4,1,94.0,67.0,66.0,81.0,55.0,57.0,73,75,40,69,53,81,66,38,57,79,94,94,92,73,80,67,60,70,47,54,63,54,76,69,57,70,58,60,49,1.2219178082191782,4.0,0,43,537,False,False,True
67,67,975000,18000,30,180,72,2.0,3,3,1,67.0,66.0,65.0,68.0,61.0,68.0,58,66,59,68,63,67,64,65,65,68,67,67,73,66,73,68,67,82,63,66,62,61,67,66,60,68,59,64,57,3.202739726027397,2.0,0,1329,606,True,False,True
73,73,2900000,21000,30,174,68,1.0,2,3,1,74.0,68.0,70.0,75.0,51.0,61.0,69,65,38,70,49,75,68,62,68,71,80,69,88,70,78,72,59,82,55,75,52,61,68,74,67,67,46,57,43,2.128767123287671,1.0,0,227,419,False,False,True
75,83,12500000,8000,20,183,71,2.0,3,2,1,78.0,76.0,69.0,76.0,35.0,68.0,67,79,66,70,68,78,68,58,64,77,83,74,74,73,67,75,80,72,70,75,56,38,78,74,72,74,30,30,28,1.0520547945205478,3.0,0,263,430,True,False,False
69,74,2000000,2000,25,183,79,2.0,4,2,1,75.0,69.0,67.0,71.0,52.0,66.0,63,68,66,70,69,71,65,50,67,72,75,75,71,68,64,72,74,77,63,69,57,52,71,72,60,65,40,59,56,1.115068493150685,1.0,0,558,491,True,False,True
70,80,3600000,12000,22,184,82,1.0,3,3,1,76.0,67.0,67.0,74.0,61.0,69.0,63,66,49,71,48,75,57,46,69,74,77,76,78,70,67,76,66,75,63,69,76,63,65,71,47,66,61,65,55,0.136986301369863,3.0,0,315,488,True,False,True
70,75,2300000,11000,25,176,69,2.0,4,2,1,65.0,59.0,65.0,69.0,70.0,74.0,56,59,56,71,48,67,52,51,68,69,63,67,76,71,78,63,65,86,64,59,84,72,65,67,53,69,69,74,74,4.054794520547945,2.0,0,69,606,True,False,True
68,69,1400000,5000,26,175,71,2.0,3,2,1,81.0,57.0,65.0,69.0,59.0,74.0,49,53,70,74,51,65,51,52,70,72,82,80,78,67,78,72,83,81,71,52,70,58,62,69,55,68,55,60,63,0.13972602739726028,4.0,0,70,562,True,False,True
75,75,6000000,27000,26,175,67,1.0,4,3,1,76.0,75.0,65.0,77.0,29.0,77.0,65,74,67,69,78,75,67,62,54,77,79,73,79,76,86,78,83,74,79,71,74,21,77,65,73,77,22,29,25,3.221917808219178,4.0,0,930,488,True,False,False
80,83,25000000,22000,25,184,76,1.0,2,2,1,55.0,47.0,65.0,73.0,81.0,80.0,41,35,67,77,36,72,44,44,76,74,55,55,73,76,68,65,73,85,78,58,78,84,67,69,38,75,81,82,81,1.210958904109589,1.0,1,315,537,True,False,True
69,76,2700000,3000,23,184,75,2.0,3,3,1,73.0,63.0,65.0,72.0,65.0,65.0,68,65,54,67,55,72,59,63,53,72,74,72,78,62,72,65,67,75,62,60,61,64,67,67,54,60,67,67,66,1.1534246575342466,3.0,0,558,491,True,True,False
70,75,2200000,17000,24,178,70,1.0,3,3,1,67.0,52.0,72.0,68.0,65.0,68.0,74,42,60,72,44,66,76,72,72,71,66,67,71,61,76,65,69,70,67,62,67,74,58,70,53,59,64,64,61,6.2246575342465755,1.0,0,227,419,True,False,True
72,84,5500000,24000,20,180,75,1.0,3,2,1,67.0,66.0,68.0,73.0,69.0,62.0,61,65,65,77,48,74,50,56,71,76,70,65,56,76,67,75,67,62,55,68,76,72,68,65,50,74,65,72,71,3.221917808219178,4.0,0,558,607,True,False,True
68,79,2700000,2000,22,180,77,3.0,3,3,1,70.0,61.0,69.0,72.0,60.0,62.0,66,56,55,71,56,70,67,63,70,70,78,64,87,65,85,67,68,70,55,66,67,59,64,68,58,70,59,62,60,1.1178082191780823,3.0,0,274,604,True,False,True
73,73,2900000,8000,30,175,71,1.0,3,3,1,77.0,68.0,73.0,74.0,50.0,52.0,73,66,49,75,65,73,76,72,69,72,76,77,80,73,79,73,60,64,52,71,37,61,71,72,57,70,28,64,49,3.221917808219178,0.0,0,996,714,True,False,True
72,87,5500000,10000,19,180,66,1.0,4,4,1,61.0,60.0,71.0,77.0,60.0,66.0,65,59,52,75,56,79,77,55,71,77,69,54,77,69,73,62,64,75,64,60,61,62,66,74,66,74,60,61,60,2.2246575342465755,3.0,0,396,456,True,False,True
71,74,2300000,6000,26,183,75,1.0,3,3,1,75.0,56.0,64.0,68.0,68.0,77.0,67,51,55,64,48,69,67,50,63,67,75,75,67,67,61,66,77,82,79,56,67,68,58,66,68,66,70,69,70,1.1726027397260275,1.0,0,230,714,False,True,False
69,69,1500000,6000,26,173,72,1.0,3,3,1,79.0,62.0,68.0,71.0,59.0,64.0,58,64,44,74,46,68,67,75,70,72,78,80,82,66,83,57,60,74,56,66,72,62,62,65,59,65,58,62,58,2.221917808219178,1.0,0,200,429,False,False,True
81,88,52500000,100000,21,177,71,1.0,5,5,3,75.0,75.0,80.0,88.0,21.0,65.0,76,75,28,82,71,91,80,73,76,88,75,75,81,78,86,80,59,68,67,75,59,22,73,86,66,86,19,23,15,6.208219178082191,5.0,0,833,537,False,False,False
68,75,2300000,11000,24,175,67,2.0,3,3,1,72.0,63.0,66.0,69.0,63.0,66.0,59,62,54,69,61,66,63,56,65,68,75,70,81,66,84,66,65,84,58,65,63,65,65,70,55,66,65,62,61,2.221917808219178,3.0,0,69,606,True,True,False
71,83,4600000,11000,21,184,72,1.0,3,3,1,74.0,63.0,70.0,73.0,62.0,64.0,60,62,53,77,58,73,62,60,71,74,75,74,76,70,64,67,67,66,63,61,64,68,67,70,59,68,61,63,61,1.6493150684931508,3.0,0,642,537,True,False,True
78,79,17000000,36000,26,183,70,1.0,4,4,1,85.0,80.0,70.0,77.0,32.0,66.0,66,78,65,75,65,79,73,64,61,78,82,88,78,78,57,86,79,75,70,86,40,20,78,73,61,70,45,20,16,2.043835616438356,1.0,0,43,888,True,False,False
73,73,2500000,21000,30,175,73,1.0,3,3,1,56.0,64.0,71.0,73.0,70.0,64.0,60,64,56,78,38,72,62,47,72,74,69,45,72,70,79,70,63,69,55,68,78,72,68,76,50,72,70,72,69,0.09863013698630137,4.0,0,263,419,True,False,True
70,70,1600000,9000,28,167,60,1.0,3,3,1,61.0,62.0,64.0,71.0,68.0,74.0,49,65,65,73,45,70,55,44,71,72,65,57,71,69,85,62,74,80,73,63,71,67,64,67,53,68,68,70,69,1.210958904109589,0.0,1,954,855,True,False,True
70,70,1000000,12000,33,178,76,2.0,3,3,1,69.0,72.0,65.0,70.0,45.0,71.0,63,73,69,67,69,70,69,64,55,70,73,66,75,71,68,74,75,79,65,68,74,52,74,71,67,65,40,41,34,0.2191780821917808,1.0,0,230,606,True,False,True
75,78,7500000,65000,25,182,63,1.0,3,3,2,82.0,69.0,72.0,76.0,43.0,60.0,74,70,44,70,58,77,72,72,67,77,84,80,76,70,78,75,60,68,51,69,72,40,72,75,52,70,46,44,39,1.210958904109589,1.0,1,346,762,True,False,True
70,70,350000,16000,36,177,77,1.0,3,3,1,51.0,65.0,70.0,70.0,74.0,61.0,73,61,65,73,64,70,65,53,68,71,49,52,62,73,65,74,65,35,67,66,78,73,69,69,55,75,74,76,75,16.638356164383563,1.0,0,323,537,True,True,False
77,77,11500000,29000,26,178,72,1.0,4,4,1,78.0,76.0,71.0,80.0,33.0,61.0,71,78,49,74,71,80,77,73,64,80,84,73,87,72,85,77,67,85,58,75,38,29,78,68,58,68,33,31,29,2.221917808219178,4.0,0,996,762,True,False,True
67,67,725000,2000,31,176,68,2.0,5,3,1,67.0,65.0,66.0,70.0,62.0,61.0,62,59,39,67,53,67,69,66,66,70,70,65,81,63,84,74,50,76,52,70,66,64,70,68,74,70,63,67,59,2.197260273972603,1.0,0,558,491,True,False,True
73,73,2700000,20000,29,180,75,1.0,4,3,1,85.0,56.0,59.0,70.0,70.0,71.0,65,50,56,61,60,72,58,47,42,66,79,89,75,73,66,73,74,79,69,51,64,73,62,63,55,63,76,66,71,0.2547945205479452,3.0,0,642,252,False,True,False
78,80,16000000,69000,25,175,66,1.0,3,2,1,75.0,41.0,68.0,73.0,76.0,70.0,78,41,56,67,30,72,76,37,62,75,74,75,76,76,74,42,69,85,61,34,73,78,70,71,45,69,78,80,77,8.224657534246575,2.0,0,1329,537,False,True,False
76,76,6500000,27000,29,181,70,1.0,3,3,1,69.0,44.0,65.0,75.0,77.0,78.0,68,37,73,70,39,75,45,40,61,74,68,69,72,75,78,47,80,80,75,51,83,77,70,68,40,76,79,76,75,2.084931506849315,2.0,0,954,488,True,True,False
72,72,2400000,18000,28,178,82,1.0,3,3,1,74.0,69.0,71.0,73.0,45.0,64.0,71,69,53,71,61,74,76,75,66,72,76,72,74,66,75,68,68,71,61,73,60,38,72,73,65,67,42,48,46,0.2191780821917808,3.0,0,76,73,True,False,True
72,79,4700000,27000,23,195,79,1.0,3,3,1,73.0,64.0,68.0,72.0,67.0,70.0,54,63,58,75,55,74,69,43,71,74,63,81,67,71,53,72,69,66,71,63,72,71,69,73,43,72,66,70,63,1.104109589041096,4.0,0,131,607,False,False,True
71,78,3600000,4000,23,185,73,1.0,3,3,1,87.0,54.0,65.0,66.0,63.0,69.0,64,50,59,70,50,65,66,55,63,65,82,91,76,68,73,60,74,87,63,59,61,64,62,63,48,60,62,65,63,1.210958904109589,1.0,1,359,762,False,True,False
73,82,6500000,24000,23,183,76,1.0,3,3,1,75.0,58.0,65.0,69.0,70.0,73.0,69,57,65,71,43,70,69,45,61,71,76,75,71,68,64,70,80,76,75,56,61,69,65,56,44,57,70,71,69,1.6547945205479453,4.0,0,131,488,False,True,False
69,69,675000,7000,34,170,64,1.0,2,3,1,61.0,69.0,68.0,70.0,45.0,69.0,69,68,76,69,72,68,73,64,67,72,71,53,71,65,81,72,81,74,62,72,77,44,74,66,54,72,39,43,41,0.7041095890410959,1.0,0,396,456,True,False,False
69,69,650000,10000,34,170,62,1.0,3,4,1,71.0,66.0,70.0,73.0,48.0,60.0,67,62,56,70,64,71,75,77,70,68,73,69,87,70,88,70,66,64,56,68,62,44,68,68,71,76,49,51,34,2.6164383561643834,0.0,0,954,607,True,False,True
69,78,3100000,6000,23,180,74,1.0,3,3,1,83.0,64.0,61.0,72.0,53.0,76.0,67,62,62,62,59,73,68,67,56,70,85,82,81,60,74,76,84,76,77,61,70,59,70,56,43,64,49,51,54,0.6246575342465753,3.0,0,930,460,False,False,True
68,68,800000,7000,32,185,82,1.0,3,3,1,57.0,68.0,65.0,66.0,63.0,76.0,63,63,62,68,68,66,66,48,66,70,60,54,59,63,54,80,76,60,81,68,81,66,68,65,69,64,60,64,65,1.1095890410958904,1.0,0,315,419,True,False,True
83,83,35000000,150000,27,185,77,1.0,4,2,3,70.0,35.0,75.0,75.0,83.0,78.0,77,30,78,80,23,74,64,20,79,79,68,71,68,84,61,53,82,78,77,27,81,84,59,76,24,81,83,84,82,4.142465753424657,3.0,0,1329,537,True,True,False
65,78,1700000,11000,20,178,71,2.0,3,3,1,74.0,58.0,63.0,68.0,63.0,80.0,60,57,53,67,52,67,60,53,63,67,76,73,75,67,73,65,77,76,79,55,87,62,60,62,60,63,63,67,65,0.049315068493150684,3.0,0,1329,606,True,False,True
70,75,2100000,5000,26,186,80,1.0,5,3,1,65.0,58.0,65.0,67.0,64.0,82.0,58,49,65,68,62,66,60,60,68,69,64,65,69,67,66,70,79,84,85,65,74,68,60,68,48,67,60,64,65,1.0054794520547945,1.0,0,263,269,True,False,True
71,71,2000000,9000,27,187,81,1.0,3,3,1,68.0,62.0,68.0,69.0,68.0,72.0,75,61,65,72,39,71,70,44,67,70,67,69,62,74,62,73,71,80,67,59,74,66,69,60,45,63,66,72,67,0.15342465753424658,3.0,0,558,607,False,False,True
68,68,950000,8000,32,180,74,1.0,3,3,1,58.0,69.0,66.0,69.0,58.0,68.0,59,67,74,70,68,68,69,56,68,70,48,67,68,70,69,74,71,76,69,70,54,61,72,67,64,73,50,61,48,2.0904109589041098,1.0,0,396,419,True,False,True
76,84,17000000,20000,22,185,74,1.0,3,3,1,73.0,78.0,60.0,72.0,46.0,73.0,47,83,74,69,71,72,64,51,61,73,74,72,69,72,68,79,75,77,74,68,67,48,80,58,70,68,44,40,34,2.2054794520547945,5.0,0,359,456,True,False,False
70,75,2200000,18000,25,170,64,2.0,4,3,1,68.0,62.0,66.0,69.0,65.0,66.0,67,63,51,68,61,66,57,58,67,68,68,68,81,69,89,60,60,85,57,62,66,68,64,67,53,65,64,68,64,1.0684931506849316,3.0,0,48,606,False,True,False
68,68,875000,9000,31,179,80,1.0,4,3,1,76.0,61.0,66.0,67.0,64.0,67.0,70,60,51,64,51,69,70,67,65,65,75,77,71,65,73,64,67,67,65,61,70,68,67,63,53,58,64,65,63,0.3013698630136986,2.0,0,227,419,True,True,False
72,72,2400000,18000,28,175,68,1.0,3,3,1,81.0,70.0,65.0,73.0,35.0,70.0,60,71,64,68,68,72,66,64,62,72,83,79,82,70,82,72,77,73,64,66,78,34,73,69,65,70,32,30,32,2.265753424657534,2.0,0,361,274,False,False,True
72,72,2000000,21000,30,184,76,1.0,3,3,1,69.0,47.0,73.0,72.0,66.0,71.0,78,36,57,73,41,72,78,75,70,72,74,64,73,72,67,68,71,84,66,54,65,66,53,68,39,66,64,69,67,0.06027397260273973,2.0,0,61,762,False,True,False
73,76,4000000,7000,25,170,66,1.0,3,4,1,91.0,72.0,65.0,78.0,37.0,60.0,69,67,49,66,66,78,75,72,55,77,91,91,90,66,87,82,68,73,56,80,52,32,67,62,52,68,37,35,39,0.6328767123287671,4.0,0,954,714,False,False,True
68,68,1000000,7000,29,186,83,1.0,3,3,1,69.0,58.0,67.0,66.0,68.0,73.0,68,48,68,67,53,65,62,60,68,68,65,73,64,64,63,76,78,56,80,68,76,67,67,66,40,69,68,69,65,0.1780821917808219,1.0,0,141,431,True,False,True
66,66,825000,2000,30,172,70,1.0,3,3,1,76.0,60.0,63.0,65.0,64.0,76.0,58,55,58,66,50,62,60,54,65,65,77,76,74,66,80,71,77,81,74,66,72,67,63,63,50,60,62,66,63,1.210958904109589,0.0,1,387,383,False,False,True
69,69,1300000,7000,27,179,75,1.0,3,3,1,77.0,65.0,66.0,70.0,64.0,65.0,68,60,55,68,54,67,63,49,64,73,75,79,75,65,73,74,70,66,65,74,61,65,68,68,47,65,65,65,64,1.1945205479452055,2.0,0,346,607,False,True,False
71,77,3000000,40000,23,182,80,1.0,4,3,1,82.0,64.0,64.0,76.0,58.0,69.0,66,64,53,67,55,77,66,47,58,76,80,83,83,64,73,70,71,70,67,62,72,49,63,65,51,69,58,65,57,1.210958904109589,1.0,1,43,607,True,False,True
67,67,875000,5000,30,179,72,1.0,4,3,1,84.0,60.0,62.0,66.0,59.0,73.0,63,58,48,61,57,64,67,62,58,63,82,85,81,65,72,64,73,84,73,57,57,62,65,63,67,69,58,62,59,1.210958904109589,0.0,1,365,382,True,True,False
72,72,2000000,21000,30,182,80,1.0,2,2,1,85.0,53.0,64.0,70.0,66.0,74.0,73,44,57,69,34,70,68,74,55,69,84,85,72,68,71,75,79,73,74,59,73,64,57,50,36,65,65,70,68,8.224657534246575,2.0,0,996,762,True,True,False
70,70,1500000,9000,30,186,77,1.0,3,3,1,70.0,65.0,68.0,68.0,58.0,70.0,64,66,52,70,62,67,65,62,68,68,74,66,67,68,71,67,68,79,68,63,66,57,68,71,55,69,58,60,55,1.0547945205479452,3.0,0,346,274,True,False,True
71,71,1500000,8000,32,191,85,1.0,3,3,1,77.0,70.0,66.0,70.0,47.0,81.0,58,70,72,72,64,70,55,52,62,74,69,83,69,70,56,74,85,84,84,66,69,46,72,71,64,70,40,51,33,2.665753424657534,1.0,0,558,607,True,False,True
80,80,13500000,88000,32,193,100,1.0,3,2,3,35.0,57.0,70.0,65.0,80.0,82.0,51,48,84,79,49,68,67,46,82,71,37,34,33,78,33,82,80,66,89,50,84,82,61,69,68,79,80,80,75,6.1287671232876715,1.0,0,1329,537,True,True,False
78,78,14000000,53000,28,182,78,1.0,4,4,1,84.0,74.0,74.0,78.0,30.0,65.0,75,74,56,73,72,82,78,68,70,78,80,87,67,75,68,80,73,70,66,72,53,34,76,79,65,72,21,28,24,0.6246575342465753,2.0,0,75,419,False,False,True
74,75,5000000,29000,25,183,78,2.0,3,4,1,76.0,69.0,73.0,77.0,41.0,66.0,70,65,39,73,64,78,76,73,70,76,77,76,77,70,75,75,64,73,70,73,50,45,70,75,60,74,31,48,42,1.632876712328767,4.0,0,31,606,True,False,True
68,73,1800000,3000,25,177,67,2.0,3,3,1,73.0,67.0,67.0,73.0,60.0,64.0,61,65,53,70,61,74,73,58,64,74,72,73,75,62,71,71,67,66,66,70,57,61,60,69,63,71,59,62,58,1.1315068493150684,2.0,0,833,430,False,False,True
72,72,2300000,10000,25,178,75,1.0,3,2,1,65.0,55.0,69.0,67.0,73.0,68.0,67,55,67,73,44,63,49,61,77,71,67,64,73,66,69,51,72,68,68,57,67,71,67,66,54,71,75,73,72,0.2547945205479452,3.0,0,642,252,False,False,True
73,73,550000,8000,36,179,78,1.0,3,2,1,60.0,54.0,66.0,63.0,71.0,81.0,67,45,62,74,49,57,48,42,71,70,61,60,61,74,76,74,76,78,82,55,85,77,61,59,57,63,65,73,75,7.164383561643835,1.0,0,954,855,False,True,False
73,73,2700000,21000,29,180,73,1.0,3,3,1,73.0,64.0,66.0,72.0,68.0,68.0,74,58,64,70,48,74,63,44,62,75,72,73,65,69,60,84,73,77,66,67,62,68,67,59,46,67,66,69,70,2.052054794520548,1.0,0,104,488,False,True,False
70,70,1700000,6000,27,177,70,1.0,3,3,1,63.0,65.0,71.0,70.0,59.0,68.0,68,65,58,73,59,68,62,67,71,71,67,59,73,67,70,68,68,75,68,66,59,63,69,73,60,69,57,59,53,1.1726027397260275,1.0,0,833,714,False,False,True
69,69,1000000,7000,31,169,68,1.0,2,3,1,76.0,55.0,64.0,67.0,64.0,69.0,67,46,50,63,46,67,71,68,60,65,73,78,73,65,72,71,67,73,67,62,70,66,66,64,51,70,65,67,66,2.128767123287671,0.0,0,954,855,False,True,False
73,73,2600000,15000,30,189,78,1.0,2,3,1,88.0,57.0,65.0,69.0,66.0,74.0,70,54,67,68,42,70,57,38,66,70,87,89,66,68,58,70,83,77,72,56,74,66,64,62,42,66,64,68,67,3.0575342465753423,1.0,0,148,607,True,True,False
68,68,1000000,5000,30,187,75,1.0,3,3,1,79.0,61.0,63.0,66.0,62.0,76.0,63,62,61,66,52,66,59,58,59,67,77,80,69,63,68,65,79,85,75,57,67,62,66,63,56,63,63,63,59,1.1561643835616437,2.0,0,67,383,True,True,False
65,66,825000,1000,27,178,65,3.0,3,3,1,69.0,65.0,65.0,67.0,58.0,69.0,63,63,54,65,60,66,71,68,64,65,71,67,76,64,80,70,66,70,63,67,81,58,65,65,59,64,58,61,57,2.197260273972603,1.0,0,1329,604,True,False,True
71,86,4300000,13000,18,175,67,1.0,3,3,1,69.0,61.0,72.0,73.0,61.0,61.0,62,59,50,76,55,72,73,63,71,74,70,68,77,70,76,60,61,69,58,71,57,64,64,76,55,68,61,62,61,1.2191780821917808,4.0,0,90,1140,False,False,True
68,68,475000,3000,35,188,86,1.0,3,2,1,55.0,64.0,69.0,65.0,63.0,78.0,65,58,57,70,55,64,77,64,70,69,54,55,65,64,50,73,70,82,80,68,70,65,67,68,71,70,62,65,61,1.0794520547945206,1.0,0,147,403,False,False,True
